"小選挙区","都道府県名","市区町村名","選挙区","政党名","候補者名","得票数"
"北海道第１区","北海道","札幌市中央区","第１区","日本維新の会","小林　さとる","10260"
"北海道第１区","北海道","札幌市北区","第１区","日本維新の会","小林　さとる","334"
"北海道第１区","北海道","札幌市南区","第１区","日本維新の会","小林　さとる","4480"
"北海道第１区","北海道","札幌市西区","第１区","日本維新の会","小林　さとる","4926"
"北海道第１区","北海道","札幌市中央区","第１区","立憲民主党","道下　大樹","49131"
"北海道第１区","北海道","札幌市北区","第１区","立憲民主党","道下　大樹","1399"
"北海道第１区","北海道","札幌市南区","第１区","立憲民主党","道下　大樹","27833"
"北海道第１区","北海道","札幌市西区","第１区","立憲民主党","道下　大樹","30031"
"北海道第１区","北海道","札幌市中央区","第１区","参政党","田中　よしひと","10041"
"北海道第１区","北海道","札幌市北区","第１区","参政党","田中　よしひと","271"
"北海道第１区","北海道","札幌市南区","第１区","参政党","田中　よしひと","4612"
"北海道第１区","北海道","札幌市西区","第１区","参政党","田中　よしひと","5173"
"北海道第１区","北海道","札幌市中央区","第１区","日本共産党","千葉　なおこ","9446"
"北海道第１区","北海道","札幌市北区","第１区","日本共産党","千葉　なおこ","281"
"北海道第１区","北海道","札幌市南区","第１区","日本共産党","千葉　なおこ","6280"
"北海道第１区","北海道","札幌市西区","第１区","日本共産党","千葉　なおこ","5444"
"北海道第１区","北海道","札幌市中央区","第１区","自由民主党","かとう　貴弘","35718"
"北海道第１区","北海道","札幌市北区","第１区","自由民主党","かとう　貴弘","1133"
"北海道第１区","北海道","札幌市南区","第１区","自由民主党","かとう　貴弘","22605"
"北海道第１区","北海道","札幌市西区","第１区","自由民主党","かとう　貴弘","20677"
"北海道第２区","北海道","札幌市北区","第２区","日本維新の会","山崎　泉","16538"
"北海道第２区","北海道","札幌市東区","第２区","日本維新の会","山崎　泉","15535"
"北海道第２区","北海道","札幌市北区","第２区","日本共産党","宮内　しおり","15294"
"北海道第２区","北海道","札幌市東区","第２区","日本共産党","宮内　しおり","16561"
"北海道第２区","北海道","札幌市北区","第２区","立憲民主党","松木　けんこう","51235"
"北海道第２区","北海道","札幌市東区","第２区","立憲民主党","松木　けんこう","42767"
"北海道第２区","北海道","札幌市北区","第２区","自由民主党","髙橋　ゆうすけ","39533"
"北海道第２区","北海道","札幌市東区","第２区","自由民主党","髙橋　ゆうすけ","37302"
"北海道第３区","北海道","札幌市白石区","第３区",NA,"増田　健治","4280"
"北海道第３区","北海道","札幌市豊平区","第３区",NA,"増田　健治","5362"
"北海道第３区","北海道","札幌市清田区","第３区",NA,"増田　健治","2330"
"北海道第３区","北海道","札幌市白石区","第３区","立憲民主党","荒井　ゆたか","32864"
"北海道第３区","北海道","札幌市豊平区","第３区","立憲民主党","荒井　ゆたか","44190"
"北海道第３区","北海道","札幌市清田区","第３区","立憲民主党","荒井　ゆたか","23082"
"北海道第３区","北海道","札幌市白石区","第３区","日本維新の会","とりこし　良孝","7978"
"北海道第３区","北海道","札幌市豊平区","第３区","日本維新の会","とりこし　良孝","9714"
"北海道第３区","北海道","札幌市清田区","第３区","日本維新の会","とりこし　良孝","4110"
"北海道第３区","北海道","札幌市白石区","第３区","日本共産党","伊藤　りち子","9775"
"北海道第３区","北海道","札幌市豊平区","第３区","日本共産党","伊藤　りち子","8855"
"北海道第３区","北海道","札幌市清田区","第３区","日本共産党","伊藤　りち子","4285"
"北海道第３区","北海道","札幌市白石区","第３区","自由民主党","高木　ひろひさ","27989"
"北海道第３区","北海道","札幌市豊平区","第３区","自由民主党","高木　ひろひさ","36083"
"北海道第３区","北海道","札幌市清田区","第３区","自由民主党","高木　ひろひさ","19017"
"北海道第４区","北海道","札幌市西区","第４区","日本共産党","佐々木　あけみ","3355"
"北海道第４区","北海道","札幌市手稲区","第４区","日本共産党","佐々木　あけみ","5874"
"北海道第４区","北海道","小樽市","第４区","日本共産党","佐々木　あけみ","5097"
"北海道第４区","北海道","石狩市","第４区","日本共産党","佐々木　あけみ","2368"
